Fund Number, Fund Name, Offer Number, Transitioning Kiwi Saver Scheme Number, Transitioning Scheme Name, Quarterly / Annual Indicator, Period to which disclosure statement relates, Offer Version Number, Scheme Number, Scheme Name, Fund Description, Value of fund as at last quarter, Currency of fund, Number of members in the fund, Date the fund started, Market index description, Market index past year return (%), Past year return(%) net charges and tax, Past year return (%) net of charges gross of tax, Market index return since fund started (%), Return since fund started (%) net, Annual Return Year 1, Annual Return Year 2, Annual Return Year 3, Annual Return Year 4, Annual Return Year 5, Annual Return Year 6, Annual Return Year 7, Annual Return Year 8, Annual Return Year 9, Annual Return Year 10, Market Index Annual Return %1, Market Index Annual Return %2, Market Index Annual Return %3, Market Index Annual Return %4, Market Index Annual Return %5, Market Index Annual Return %6, Market Index Annual Return %7, Market Index Annual Return %8, Market Index Annual Return %9, Market Index Annual Return %10, Annual Return % 1, Annual Return % 2, Annual Return % 3, Annual Return % 4, Annual Return % 5, Annual Return % 6, Annual Return % 7, Annual Return % 8, Annual Return % 9, Annual Return % 10, Total Annual Fund Fees, Manager's basic fee, Total performance-based fees (%), Other management and administration charges, Total amount of other charges, Currency of Total amount of other charges, Actual investment mix: Cash and cash equivalents, Actual investment mix: New Zealand fixed interest, Actual investment mix: International fixed interest, Actual investment mix: Australasian equities, Actual investment mix: International equities, Actual investment mix: Listed Properties, Actual investment mix: Unlisted Properties, Actual investment mix: Unknown, Actual investment mix: Other, Actual investment mix: Commodities, Target investment mix: Cash and cash equivalents, Target investment mix: New Zealand fixed interest, Target investment mix: International fixed interest, Target investment mix: Australasian equities, Target investment mix: International equities, Target investment mix: Listed Properties, Target investment mix: Unlisted Properties, Target investment mix: Other, Target investment mix: Commodities, Total value of 10 highest value assets as a percentage of fund net assets, Top 10 Investments 1: Name, Top 10 Investments 2: Name, Top 10 Investments 3: Name, Top 10 Investments 4: Name, Top 10 Investments 5: Name, Top 10 Investments 6: Name, Top 10 Investments 7: Name, Top 10 Investments 8: Name, Top 10 Investments 9: Name, Top 10 Investments 10: Name, Top 10 Investments 1: Percentage of fund net assets, Top 10 Investments 2: Percentage of fund net assets, Top 10 Investments 3: Percentage of fund net assets, Top 10 Investments 4: Percentage of fund net assets, Top 10 Investments 5: Percentage of fund net assets, Top 10 Investments 6: Percentage of fund net assets, Top 10 Investments 7: Percentage of fund net assets, Top 10 Investments 8: Percentage of fund net assets, Top 10 Investments 9: Percentage of fund net assets, Top 10 Investments 10: Percentage of fund net assets, Top 10 Investments 1: Type, Top 10 Investments 2: Type, Top 10 Investments 3: Type, Top 10 Investments 4: Type, Top 10 Investments 5: Type, Top 10 Investments 6: Type, Top 10 Investments 7: Type, Top 10 Investments 8: Type, Top 10 Investments 9: Type, Top 10 Investments 10: Type, Top 10 Investments 1: Country, Top 10 Investments 2: Country, Top 10 Investments 3: Country, Top 10 Investments 4: Country, Top 10 Investments 5: Country, Top 10 Investments 6: Country, Top 10 Investments 7: Country, Top 10 Investments 8: Country, Top 10 Investments 9: Country, Top 10 Investments 10: Country, Top 10 investments 1: Credit rating (if applicable), Top 10 investments 2: Credit rating (if applicable), Top 10 investments 3: Credit rating (if applicable), Top 10 investments 4: Credit rating (if applicable), Top 10 investments 5: Credit rating (if applicable), Top 10 investments 6: Credit rating (if applicable), Top 10 investments 7: Credit rating (if applicable), Top 10 investments 8: Credit rating (if applicable), Top 10 investments 9: Credit rating (if applicable), Top 10 investments 10: Credit rating (if applicable), Key Personnel 1: name, Key Personnel 2: name, Key Personnel 3: name, Key Personnel 4: name, Key Personnel 5: name, Key Personnel 1: Current Position, Key Personnel 2: Current Position, Key Personnel 3: Current Position, Key Personnel 4: Current Position, Key Personnel 5: Current Position, Key Personnel 1: Time in Current Position - years, Key Personnel 1: Time in Current Position - months, Key personnel 2: Time in Current Position - years, Key Personnel 2: Time in Current Position - months, Key Personnel 3: Time in Current Position - years, Key Personnel 3: Time in Current Position - months, Key Personnel 4: Time in Current Position - years, Key Personnel 4: Time in Current Position - months, Key Personnel 5: Time in Current Position - years, Key Personnel 5: Time in Current Position - months, Key Personnel 1: Previous or Other Position, Key Personnel 2: Previous or Other Position, Key Personnel 3: Previous or Other Position, Key Personnel 4: Previous or Other Position, Key Personnel 5: Previous or Other Position, Key Personnel 1: Time in Previous Position - years, Key Personnel 1: Time in Previous Position - months, Key Personnel 2: Time in Previous Position - years, Key Personnel 2: Time in Previous Position - months, Key Personnel 3: Time in Previous Position - years, Key Personnel 3: Time in Previous Position - months, Key Personnel 4: Time in Previous Position - years, Key Personnel 4: Time in Previous Position - months, Key Personnel 5: Time in Previous Position - years, Key Personnel 5: Time in Previous Position - months
FND1001,"STEPPING STONES 0-35",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","The objective of the Stepping Stones A investment option is to provide a growth investment return over the long-term through investment in a portfolio of actively managed cash, fixed interest, property (including aged care) and infrastructure assets, and International Equities Managers. The investment option has a medium level of volatility.",22517377.00,NZD,2824,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",16.32,14.68,15.44,13.59,9.66,2015,2016,2017,2018,,,,,,,16.48,6.68,11.85,11.90,,,,,,,17.84,5.02,6.79,12.08,,,,,,,1.76,1.00,0.00,0.76,36.00,NZD,8.2200,13.5200,0.0000,12.8200,54.4100,11.0300,0.0000,0.0000,0.0000,0.0000,1.75%,7.50%,0.00%,18.25%,54.25%,18.25%,0.00%,0.00%,0.00%,57.3500,"ASB ON CALL CASH ACCOUNT","BERKSHIRE HATHAWAY","T ROWE PRICE GLOBAL EQUITY FUND","MAGELLAN GLOBAL FUND","PLATINUM INTERNATIONAL FUND","INFRATIL","WORLDWIDE HEALTHCARE TRUST","JUPITER EUROPEAN OPPORTUNITIES TRUST","POLAR CAPITAL TECHNOLOGY TRUST","ARVIDA GROUP",9.2300,8.5600,7.5000,7.2200,6.4600,4.9100,3.8600,3.5700,3.0800,2.9600,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,FUND,FUND,FUND,AUSTRALASIAN_EQUITIES,FUND,FUND,FUND,LISTED_PROPERTY,NZ,US,AU,AU,AU,NZ,GB,GB,GB,NZ,,,,,,,,,,,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND1002,"STEPPING STONES 36-45 AND STEPPING STONES GROWTH 51-55",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","The objective of the Stepping Stones B investment option is to provide a growth investment return over the long-term through investment in a portfolio of actively managed cash, fixed interest, property (including aged care) and infrastructure assets, and International Equities Managers. The investment option has a medium level of volatility.",27219890.00,NZD,1220,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",13.97,12.31,13.19,11.89,8.28,2015,2016,2017,2018,,,,,,,14.27,7.39,9.65,10.79,,,,,,,15.17,5.79,5.29,9.81,,,,,,,1.61,1.00,0.00,0.61,36.00,NZD,6.1100,30.8000,0.0000,13.5700,38.0800,11.4400,0.0000,0.0000,0.0000,0.0000,2.73%,24.00%,0.00%,17.65%,37.98%,17.65%,0.00%,0.00%,0.00%,43.9900,"ASB ON CALL CASH ACCOUNT","BERKSHIRE HATHAWAY","INFRATIL","T ROWE PRICE GLOBAL EQUITY FUND","MAGELLAN GLOBAL FUND","PLATINUM INTERNATIONAL FUND","ARVIDA GROUP","METLIFECARE","WORLDWIDE HEALTHCARE TRUST","JUPITER EUROPEAN OPPORTUNITIES TRUST",6.9300,5.9900,5.3100,5.2500,5.0500,4.5200,2.9900,2.7500,2.7000,2.5000,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,FUND,FUND,FUND,LISTED_PROPERTY,LISTED_PROPERTY,FUND,FUND,NZ,US,NZ,AU,AU,AU,NZ,NZ,GB,GB,,,,,,,,,,,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND1003,"STEPPING STONES 46-55 AND STEPPING STONES GROWTH 56-60",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","The objective of the Stepping Stones C investment option is to provide a moderate investment return over the long-term through investment in a portfolio of actively managed cash, fixed interest, property (including aged care) and infrastructure assets, and International Equities Managers. The investment option has a low to medium level of volatility.",27460359.00,NZD,1136,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",11.62,9.95,10.94,10.19,6.91,2015,2016,2017,2018,,,,,,,12.05,8.09,7.46,9.67,,,,,,,12.50,6.55,3.79,7.55,,,,,,,1.45,1.00,0.00,0.45,36.00,NZD,4.0000,48.0600,0.0000,14.3200,21.7700,11.8500,0.0000,0.0000,0.0000,0.0000,3.70%,40.50%,0.00%,17.05%,21.70%,17.05%,0.00%,0.00%,0.00%,32.9900,"INFRATIL","ASB ON CALL CASH ACCOUNT","BERKSHIRE HATHAWAY","ARVIDA GROUP","T ROWE PRICE GLOBAL EQUITY","MAGELLAN GLOBAL FUND","METLIFECARE","Z ENERGY","PLATINUM INTERNATIONAL FUND","MERCURY ENERGY",5.7200,4.6300,3.4300,3.0200,3.0000,2.8900,2.8700,2.6200,2.5900,2.2200,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,LISTED_PROPERTY,FUND,FUND,LISTED_PROPERTY,AUSTRALASIAN_EQUITIES,FUND,AUSTRALASIAN_EQUITIES,NZ,NZ,US,NZ,AU,AU,NZ,NZ,AU,NZ,,,,,,,,,,,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND1004,"STEPPING STONES 56-60",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","The objective of the Stepping Stones D investment option is to provide a conservative investment return over the long-term through investment in a portfolio of actively managed cash, fixed interest, property (including aged care) and infrastructure assets, and International Equities Managers. The investment option has a low to medium level of volatility.",8464464.00,NZD,329,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",9.82,8.14,9.24,8.90,5.88,2015,2016,2017,2018,,,,,,,10.31,8.75,5.71,8.86,,,,,,,10.50,7.28,2.60,5.77,,,,,,,1.33,1.00,0.00,0.33,36.00,NZD,1.5400,62.2900,0.0000,15.2000,8.5300,12.4400,0.0000,0.0000,0.0000,0.0000,4.50%,53.00%,0.00%,17.00%,8.50%,17.00%,0.00%,0.00%,0.00%,28.8000,"INFRATIL","ARVIDA GROUP","METLIFECARE","Z ENERGY","ASB TERM DEPOSIT","Z ENERGY NOV 2021 BONDS","MERCURY ENERGY","CONTACT ENERGY","ASB ON CALL CASH ACCOUNT","SUMMERSET GROUP HOLDINGS",6.2000,3.0500,3.0300,2.8200,2.6600,2.4000,2.3300,2.2300,2.1500,1.9300,AUSTRALASIAN_EQUITIES,LISTED_PROPERTY,LISTED_PROPERTY,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,LISTED_PROPERTY,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,,,,,,Unrated,,,,,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND1005,"STEPPING STONES 61-64 AND STEPPING STONES GROWTH 61-64",OFR10812,KSS10074,"GENERATE KIWISAVER SCHEME",Quarterly,2018-09-30,139,SCH10791,"GENERATE KIWISAVER SCHEME","The objective of the Stepping Stones E investment option is to provide a conservative investment return over the long-term through investment in a portfolio of actively managed cash, fixed interest, property (including aged care) and infrastructure assets, and International Equities Managers. The investment option has a low to medium level of volatility.",5272415.00,NZD,207,2013-04-16,"The market index is described in the Statement of Investment Policy and Objectives (SIPO)",9.15,7.47,8.59,8.41,5.47,2015,2016,2017,2018,,,,,,,9.70,8.89,5.13,8.52,,,,,,,9.73,7.42,2.19,5.15,,,,,,,1.29,1.00,0.00,0.29,36.00,NZD,1.3600,66.6900,0.0000,15.2600,4.2700,12.4200,0.0000,0.0000,0.0000,0.0000,4.75%,57.75%,0.00%,16.63%,4.25%,16.63%,0.00%,0.00%,0.00%,29.0700,"INFRATIL","ARVIDA GROUP","METLIFECARE","ASB TERM DEPOSIT","Z ENERGY","Z ENERGY NOV 2021 BONDS","MERCURY ENERGY","CONTACT ENERGY","SUMMERSET GROUP HOLDINGS","ASB ON CALL CASH ACCOUNT",6.2200,3.0500,3.0300,2.9400,2.8500,2.6100,2.3500,2.2300,1.9300,1.8600,AUSTRALASIAN_EQUITIES,LISTED_PROPERTY,LISTED_PROPERTY,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,LISTED_PROPERTY,CASH_AND_EQUIVALENTS,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,,,,,,Unrated,,,,,"SAM GOLDWATER","HENRY TONGUE","PETER BROOK","NICK BOWDEN",,"Portfolio Manager / Investment Committee Member / Executive Director","Chief Executive Officer / Investment Committee Member / Director","Investment Committee Chair / Director","Investment Committee Member",,5,6,5,6,5,6,2,1,,,"Led the investment management of a sizeable portfolio of family assets (previous)","Senior Portfolio Manager - Hulijich Wealth Management (previous)","Board member of Trust Investments Management Limited (current)","Director of Balthazar Capital Advisors",,7,5,4,3,14,4,6,6,,,
FND10339,"SHIELDED GROWTH FUND",OFR10843,KSS10026,"GROSVENOR KIWISAVER SCHEME",Quarterly,2018-09-30,239,SCH10841,"BOOSTER KIWISAVER SCHEME","The Shielded Growth Fund invests predominantly in growth assets and uses options contracts to partially ‘shield’ the fund against (limit the impact of) more significant short-term downward movements of the value of the fund’s investments. It is suited to investors who are comfortable with a medium to high level of risk in order to potentially achieve relatively higher returns, but who are willing to forgo some return due to the cost of the options strategy.",862834.07,NZD,28,2018-05-31,"The market index return is based on the weighted average return of the market indices used in respect of the underlying asset classes as described in the Statement of Investment Policy and Objectives.",15.62,,,4.91,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,1.14,0.04,0.16,36.00,NZD,5.8500,1.6800,1.3900,19.2300,66.7900,3.4700,1.6000,,,,2.00%,32.00%,54.00%,12.00%,,,,,,56.5900,"VANGUARD INT'L SHARES SELECT EXCLUSIONS FUND - NZD HGD","VANGUARD EMERGING MARKETS SHARE INDEX FUND","CASH DEPOSIT (ANZ)","VANGUARD INT'L PROP SEC. INDEX FUND (AUD HGD)","ALPHABET INC (CLASS C)","MICROSOFT CORPORATION","THE A2 MILK COMPANY LIMITED","AMAZON.COM, INC","VISA INC","FISHER & PAYKEL HEALTHCARE CORPORATION LTD",38.6700,4.8900,4.1800,1.7100,1.2400,1.2300,1.2100,1.1800,1.1600,1.1200,FUND,FUND,CASH_AND_EQUIVALENTS,FUND,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,AUSTRALASIAN_EQUITIES,AU,AU,NZ,AU,US,US,NZ,US,US,NZ,,,AA-,,,,,,,,"DAVID BEATTIE","NIC CRAVEN","ALLAN YEO","ROWAN CALVERT","AARON USHER","Principal, Booster Financial Services Limited","Senior Manager - Research, Booster Financial Services Limited","Managing Director, Booster Financial Services Limited","Portfolio Manager - Global Equities, Booster Financial Services Limited","Portfolio Manager - Australasian Equities, Booster Financial Services Limited",0,4,0,4,20,4,0,11,0,11,"CIO, Booster Financial Services Limited","Research Manager, Booster Financial Services Limited","Associate Director, Barclays Bank plc","Senior Equity Analyst, Booster Financial Services Limited","Equity Analyst, Booster Financial Services Limited",17,6,4,2,2,0,7,4,5,9,
FND1050,"CONSERVATIVE FUND",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","The fund aims to provide protection for your savings, while also generating a moderate level of return over the long term. Invested mainly in income assets with a small amount in growth assets",672471578.00,NZD,71229,2009-06-01,"The market index return reflects a composite of benchmark index returns, weighted for the fund’s target asset allocation. The benchmark indices used for each asset class are defined in the Statement of Investment Policy and Objectives (SIPO).",5.31,4.67,5.44,7.01,4.32,2011,2012,2013,2014,2015,2016,2017,2018,,,6.58,6.94,8.85,4.59,11.86,5.08,3.85,4.83,,,4.13,2.54,6.77,5.30,7.03,3.32,3.68,3.62,,,0.97,0.84,0.00,0.13,36.00,NZD,14.1300,42.0100,18.7100,6.9500,11.6800,0.7800,5.7400,0.0000,0.0000,0.0000,19.5,18,35,5.5,12,5,5,0,0,18.6100,"ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","BAYFAIR MALL","10Y JAPAN GOVT BOND (OSE) DEC 18 12/12/2018","GOVERNMENT OF THE UNITED STATES OF AMERICA 2.25% 15-NOV-2024","GOVERNMENT OF NEW ZEALAND 4.5% 15-APR-2027","GOVERNMENT OF NEW ZEALAND 3.5% 14-APR-2033","TAX TRADERS LIMITED 23/10/2018 24/10/2018","RABOBANK NEDERLAND FRN 22-MAR-2021","TAX TRADERS LIMITED 21/06/2019 20/06/2019","INTERNATIONAL FINANCE CORPORATION 3.625% 20-MAY-2020",2.9800,2.3600,2.0200,1.8700,1.7100,1.6500,1.6400,1.5300,1.4500,1.4000,CASH_AND_EQUIVALENTS,UNLISTED_PROPERTY,INT_FIXED_INTEREST,INT_FIXED_INTEREST,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,CASH_AND_EQUIVALENTS,NZ_FIXED_INTEREST,NZ,NZ,NZ,US,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,Aaa,Aaa,Aaa,NA,Aa3,NA,AAA,"FRANK JASPER","MARK BRIGHOUSE","DAVID MCLEISH","ASHLEY GARDYNE","SAM DICKIE","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, Fixed Interest","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities",1,2,1,2,7,6,2,5,1,7,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Executive Director, Goldman Sachs International, London","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited",12,4,5,9,3,0,2,11,5,10,
FND1051,"GROWTH FUND",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","The fund aims to grow your savings with more focus on capital growth over the long term. Invested in mainly growth assets.",1724794141.00,NZD,109419,2007-10-01,"The market index return reflects a composite of benchmark index returns, weighted for the fund’s target asset allocation. The benchmark indices used for each asset class are defined in the Statement of Investment Policy and Objectives (SIPO).",13.59,13.19,13.77,9.47,9.92,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,-28.39,39.93,8.09,-4.15,16.87,14.11,16.59,3.17,11.31,9.93,-17.22,48.89,9.98,-5.83,12.24,13.51,10.19,4.36,9.45,9.31,1.47,0.95,0.39,0.13,36.00,NZD,7.3300,16.1400,0.0000,29.7600,40.6700,0.7100,5.3900,0.0000,0.0000,0.0000,5,6,9,29,42,4.5,4.5,0,0,15.5000,"BAYFAIR MALL","ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","A2 MILK COMPANY LTD.","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","MAINFREIGHT LIMITED","TAX TRADERS LIMITED 21/06/2019 20/06/2019","FREIGHTWAYS LIMITED","AUCKLAND INTERNATIONAL AIRPORT LIMITED","TAX TRADERS LIMITED 23/10/2018 24/10/2018","RYMAN HEALTHCARE LTD.",2.2100,2.0000,1.7300,1.7200,1.4900,1.3700,1.3300,1.3000,1.2100,1.1400,UNLISTED_PROPERTY,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRANK JASPER","MARK BRIGHOUSE","ASHLEY GARDYNE","SAM DICKIE","DAVID MCLEISH","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities","Senior Portfolio Manager, Fixed Interest",1,2,1,2,2,5,1,7,7,6,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited","Executive Director, Goldman Sachs International, London",12,4,5,9,2,11,5,10,3,0,
FND1052,"BALANCED STRATEGY",OFR10664,KSS/10035,"FISHER FUNDS KIWISAVER SCHEME",Quarterly,2018-09-30,84,SCH10636,"FISHER FUNDS KIWISAVER SCHEME","This investment option aims to provide a balance between protecting your investment and growing it over the long term. Invests in a balance of income and growth assets, and automatically rebalanced each year to the target investment mix of 45% Conservative Fund and 55% Growth Fund.",627551686.00,NZD,38553,2009-06-01,"The market index returns are calculated based on the historic Balanced Strategy allocations to the Growth Fund and Conservative Fund market index returns",9.74,9.29,9.96,9.40,7.11,2011,2012,2013,2014,2015,2016,2017,2018,,,7.47,1.37,12.86,8.86,13.98,4.30,7.63,7.62,,,7.08,-1.67,9.50,8.95,8.47,3.84,6.70,6.73,,,1.24,0.90,0.21,0.13,36.00,NZD,10.3800,27.7800,8.4200,19.5000,27.6300,0.7400,5.5500,0.0000,0.0000,0.0000,11.5,11,21,18,28.5,5,5,0,0,13.8800,"ANZ 10 A/C - CURRENT ACCOUNTS 28/09/2018","BAYFAIR MALL","TAX TRADERS LIMITED 21/06/2019 20/06/2019","TAX TRADERS LIMITED 23/10/2018 24/10/2018","A2 MILK COMPANY LTD.","FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","GOVERNMENT OF NEW ZEALAND 4.5% 15-APR-2027","GOVERNMENT OF NEW ZEALAND 3.5% 14-APR-2033","MERIVALE MALL","RABOBANK NEDERLAND FRN 22-MAR-2021",2.4400,2.2800,1.4100,1.4000,1.1000,1.1000,1.0800,1.0400,1.0300,1.0000,CASH_AND_EQUIVALENTS,UNLISTED_PROPERTY,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,AUSTRALASIAN_EQUITIES,AUSTRALASIAN_EQUITIES,NZ_FIXED_INTEREST,NZ_FIXED_INTEREST,UNLISTED_PROPERTY,NZ_FIXED_INTEREST,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NZ,NA,NA,NA,NA,NA,NA,Aaa,Aaa,NA,Aa3,"FRANK JASPER","MARK BRIGHOUSE","DAVID MCLEISH","ASHLEY GARDYNE","SAM DICKIE","Chief Investment Officer","Chief Investment Strategist","Senior Portfolio Manager, Fixed Interest","Senior Portfolio Manager, International Equities","Senior Portfolio Manager, NZ Equities",1,2,1,2,7,6,2,5,1,7,"Director, Fisher Funds Management Limited","Chief Investment Officer, Fisher Funds Management Limited","Executive Director, Goldman Sachs International, London","Senior Investment Analyst, International Equities, Fisher Funds Management Limited","Portfolio Manager, Moore Capital Asia Limited",12,4,5,9,3,0,2,11,5,10,
FND10584,"JUNO CONSERVATIVE FUND",OFR12452,null,null,Quarterly,2018-09-30,8,SCH12451,"JUNO KIWISAVER SCHEME","The Fund invests primarily in cash held on call or term deposit with New Zealand registered banks. It also invests in the Juno Balanced Fund, providing Juno KiwiSaver members with investments in global fixed interest, some equities and some additional cash exposure. Members would choose the Conservative Fund if they have a short investment horizon or low comfort with investing and want to achieve a better return than they could from choosing their own term deposits with a New Zealand bank.",632153.46,NZD,16,2018-08-01,"65% NZBond Bank Bill Index (NZD)/10% Bloomberg Barclays Global Aggregate Total Return Index Value Unhedged (USD)/ 60%  MSI ACWI IMI Net Total Return Index (USD)",3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0.42,0.00,0.00,0.00,NZD,91.4100,,8.3500,0.2400,,,,,,,65%,,10%,,25%,,,,,98.8100,"BANK OF CHINA TERM DEPOSIT","BNZ CASH DEPOSIT","ASB TERM DEPOSIT","ISHARES MSCI EAFE OPTIMIZED ETF","ISHARES MSCI USA ESG OPTIMIZED ETF","ISHARES MSCI EM ESG OPTIMIZED ETF","LKQ CORPORATION","ALPHABET INC - CLASS C","NASPERS LIMITED","AUTOHOME INC - ADR",54.8700,28.6500,7.9100,2.7200,2.2300,0.8900,0.4000,0.4000,0.3900,0.3500,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,CASH_AND_EQUIVALENTS,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,INTERNATIONAL_EQUITIES,NZ,NZ,NZ,US,US,US,US,US,US,US,,,,,,,,,,,"MICHAEL TAYLOR","ROY KNILL","PAUL GREGORY","MARK DEVCICH","BIANCA FLEDDERUS","CEO, CIO and Executive Director","Non-Executive Director, Chair of Investment Committee","Head of Investments","Head of Research/Portfolio Manager","Investment Analyst and Portfolio Manager",11,3,5,6,0,10,7,0,1,0,"Manager at BOS International","Director at CityMed","Director, External Communications and Investor Capability at Financial Markets Authority","Accountant at PwC","Assistant Investment Analyst and Dealerat Pie Funds",2,0,15,9,2,1,2,6,0,5,
